event_id,event_title,event_volume,event_liquidity,n_markets,market_id,question,p_yes_mid,p_yes_mid_valid,best_bid,best_ask,end_date
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559684,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559685,Will MrBeast win the 2028 Democratic presidential nomination?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559686,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,0.0095,True,0.009,0.01,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559687,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,0.0025,True,0.002,0.003,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559688,Will Andrew Yang win the 2028 Democratic presidential nomination?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559689,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,0.0025,True,0.002,0.003,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559690,Will Kim Kardashian win the 2028 Democratic presidential nomination?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559691,Will Chris Murphy win the 2028 Democratic presidential nomination?,0.0035,True,0.002,0.005,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559692,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.0025,True,0.002,0.003,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559693,Will Ruben Gallego win the 2028 Democratic presidential nomination?,0.0025,True,0.002,0.003,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559694,Will Ro Khanna win the 2028 Democratic presidential nomination?,0.0225,True,0.022,0.023,2028-11-07T00:00:00Z
